Id,Titulo,State,BoardColumn,Responsavel,DataCriacao,DataFechamento,Prioridade,Severidade,Aberto,FechadoNoPeriodo
17428,Ocorreu um erro na consulta de Status CTe. Código do Erro: 519 e Motivo Rejeicao: CFOP invalido para operacao retornado pelo SEFAZ. CFOP no sistema enviando CFOP 6353,Closed,Concluído,Rodolfo Caceraghi dos Santos,2026-05-15T13:12:49.007Z,2026-05-26T11:44:41.65Z,2,Baixa,Nao,Nao
17429,Registro de alteração/processamento/estorno na tela de inventário não esta sendo mostrado na tela de auditoria,Closed,Concluído,Fabio Nobre,2026-05-15T13:13:46.553Z,2026-05-27T12:07:07.347Z,2,Baixa,Nao,Nao
17764,[Testes release Alfa 14/04/2026] NullReferenceException ao fechar tela de Parceiro de Negócio via menu Aviação,Closed,Concluído,maykon.elias,2026-05-18T20:22:12.86Z,2026-06-02T13:39:44.12Z,2,Baixa,Nao,Nao
18035,Emissão de NFe: Desconto do IRRF não é calculado corretamente para PN com preço promocional,Closed,Concluído,Rodolfo Caceraghi dos Santos,2026-05-21T17:23:33.223Z,2026-05-29T17:54:16.613Z,2,Alta,Nao,Nao
18257,[Testes release Alfa 03/03/2026] - Metaposto / Emissão CTE Aquaviário > Btn New > Menu F11 - Ao clicar no menu F11 dispara exceção,Closed,Concluído,maykon.elias,2026-05-25T11:52:54.973Z,2026-05-29T12:02:41.613Z,2,Média,Nao,Nao
18258,MetaPosto: LMC / Diferença entre Lançamento de Régua e Perdas e Ganhos por conta de Venda sem movimentação de estoque,Closed,Concluído,Fabio Nobre,2026-05-25T11:54:04.49Z,2026-05-28T18:02:50.913Z,2,Alta,Nao,Nao
18278,"MetaPosto: Emissão NFe de Cupom(NFCe) / Ocorreram alguns erros na validação da Nota Fiscal Eletrônica. Veja abaixo os erros: ""O combutivel DIESEL S-10 () monfofásico está com sua alíquota AdRem Zerada.""",Closed,Concluído,Fabio Nobre,2026-05-25T13:11:22.273Z,2026-06-01T12:02:10.843Z,2,Média,Nao,Nao
18342,Divergência de estoque offline entre Relatório 06 (PDV) e 024 (Retaguarda),Closed,Concluído,Ivan Pionelli Junior,2026-05-25T18:08:23.387Z,2026-06-22T16:33:18.713Z,2,Média,Nao,Sim
18448,Integração Imends: Mercadorias não sendo auditadas após saneamento,Closed,Concluído,maykon.elias,2026-05-26T17:18:53.08Z,2026-05-28T19:02:54.77Z,2,Média,Nao,Nao
18539,Teste Automatizado - Erro ao atualizar PDV - OFICIAL_14_04_2026 R.25-05-2026 & ALFA_14-05-2026 R.25-05-2026,Closed,Concluído,Ivan Pionelli Junior,2026-05-27T13:44:31.763Z,2026-05-28T18:02:55.77Z,2,Alta,Nao,Nao
18642,MetaPosto: Cadastro Parceiro de Negócio / Consulta SEFAZ estado BA retorna Inscrição Estadual com dígito “2” indevido no início,Closed,Concluído,maykon.elias,2026-05-28T16:23:03.267Z,2026-06-03T14:09:56.33Z,2,Média,Nao,Nao
18676,Entrada de mercadoria sem persistir registros na tabela 'FAT_CustosMercadoriaDocumentoFiscal',Closed,Concluído,maykon.elias,2026-05-28T19:13:13.433Z,2026-06-10T19:32:20.097Z,2,Alta,Nao,Nao
19063,Gerenciador de documentos fiscais: NF-es de entradas processadas não estão sendo listadas na tela,Closed,Concluído,Paulo A. Lot,2026-06-02T12:24:25.133Z,2026-06-02T17:08:21.36Z,2,Média,Nao,Nao
19214,Falha na alteração de preço de mercadoria agendada,Closed,Concluído,Fabio Nobre,2026-06-03T11:58:07.98Z,2026-06-10T13:15:30.207Z,2,Média,Nao,Nao
19374,NF-e de Devolução de Compra - Valor do Frete somando a Base do IPI,Closed,Concluído,Ivan Pionelli Junior,2026-06-05T20:42:25.197Z,2026-06-15T17:23:00.553Z,2,Média,Nao,Nao
19632,Ajuste de Estoque apresenta NullReferenceException devido à ausência de retorno do Local de Estoque na FN_EST_PegarSaldoMercadorias,Closed,Concluído,maykon.elias,2026-06-08T19:29:36.353Z,2026-06-11T11:58:15.837Z,2,Média,Nao,Nao
20645,"MetaPosto: Cadastro de Parceiro > Consulta Contribuinte / Ao consultar CNPJ retorna ""Não foi possível consultar os dados do contribuinte"" (Situação persiste apenas na Hospedagem Imex)",Closed,Concluído,Fabio Nobre,2026-06-18T11:51:12.433Z,2026-06-24T17:38:26.967Z,2,Média,Nao,Sim
20848,Valores de notas sendo gravados nulos ao processar a carga,Closed,Concluído,Ivan Pionelli Junior,2026-06-22T12:32:09.68Z,2026-06-23T21:00:32.467Z,2,Alta,Nao,Sim
21012,NFe permanece pendente em loop com erro 104 sem geração de XML e sem registro na SEFAZ,Closed,Concluído,Ivan Pionelli Junior,2026-06-23T12:43:50.76Z,2026-07-01T11:29:28.51Z,2,Média,Nao,Sim
21132,Erro ao transmitir NFe em contingência quando Descrição Natureza Operação diverge do cadastro,Closed,Concluído,Julio Andreata,2026-06-24T17:23:18.7Z,2026-07-06T13:35:21.197Z,2,Média,Nao,Sim
21414,Exceção ao Salvar ou Salvar e Processar Aquisição de CT-e de Substituição após correção do TK 661776,Closed,Concluído,Ivan Pionelli Junior,2026-06-26T17:20:10.27Z,2026-07-02T15:00:51.507Z,2,Média,Nao,Sim
21494,Exceção na geração do SPED Unificado e inconsistências de validação,Closed,Concluído,Ivan Pionelli Junior,2026-06-29T11:36:05.42Z,2026-07-03T14:15:24.29Z,2,Alta,Nao,Sim
21575,"NFS-e - Nota sem cliente e sem Informações de Pagamento ""Referência de objeto não definida para uma instância de um objeto""",Closed,Concluído,Ivan Pionelli Junior,2026-06-30T13:34:20.523Z,2026-07-07T15:15:38.67Z,2,Média,Nao,Sim
21849,Estoque Offline - Divergência de saldo no Estoque Offline para Combustível durante consolidação de estoque,Closed,Concluído,Rodolfo Caceraghi dos Santos,2026-07-03T17:54:05.437Z,2026-07-07T17:41:35.113Z,2,Média,Nao,Sim
21852,Metaposto - Erro na geração de NF-e pela tela de Controle de Perdas e Sobras,Closed,Concluído,Paulo A. Lot,2026-07-03T18:10:50.63Z,2026-07-08T13:10:23.37Z,2,Média,Nao,Sim
22055,"MetaPosto: NFe / Ao tentar abortar cancelamento de NFe sistema retorna exceção ""A subconsulta retornou mais de 1 valor."" (Recorrência Tk 655571)",Closed,Concluído,Rodolfo Caceraghi dos Santos,2026-07-06T18:23:02.32Z,2026-07-10T12:03:39.953Z,2,Alta,Nao,Sim
22375,PDV: Falha na execução de GUIDs de atualização,Closed,Concluído,Rodolfo Caceraghi dos Santos,2026-07-08T17:16:04.12Z,2026-07-10T10:41:20.86Z,2,Alta,Nao,Sim
22383,Reprocessamento NF-e FS-DA não sincroniza DocumentoFiscalAguardando.Mensagem com retorno SEFAZ já gravado em DocumentoXmlGenerico,New,Disponível para Dev,Ivan Pionelli Junior,2026-07-08T18:56:20.437Z,,2,Baixa,Sim,Nao
21135,"CTe de Substituição - Exceção ao Importar Xml ou Carregar via Manifesto ""Referência de objeto não definida para uma instância de um objeto""",Closed,Concluído,Julio Andreata,2026-06-24T17:42:29.157Z,2026-07-02T15:01:38.133Z,2,Média,Nao,Sim
21869,Cadastro de Cartão - sistema não carrega campos (Identificar PN na venda e Visualiza Cartão PDV) ao filtrar o PN pelo ID,Closed,Concluído,Rodolfo Caceraghi dos Santos,2026-07-03T18:34:29.58Z,2026-07-09T18:43:29.417Z,2,Média,Nao,Sim
22299,"PDV: Cancelamento NFe (módulo emissor PDV) / Ao tentar cancelar NFe no PDV retorna exceção "" Unexpected row count: 0; expected: 1""",Active,Dev implementando,Rodolfo Caceraghi dos Santos,2026-07-08T11:58:42.347Z,,2,Média,Sim,Nao
22508,SPED Fiscal - Registro D190 (Entrada) exporta CFOP igual a zero para CT-e de Aquisição devido à não persistência do Código Fiscal de Operação,Resolved,Pronto pra Release,Rodolfo Caceraghi dos Santos,2026-07-09T20:02:18.837Z,2026-07-15T18:52:47.2Z,2,Alta,Nao,Sim
22510,Valor do ICMS é zerado ao alterar CST na NF-e de Transferência de Saldo Credor/Devedor de ICMS,Active,Disponível Revisão de Código,Rodolfo Caceraghi dos Santos,2026-07-09T20:16:58.487Z,,2,Média,Sim,Nao
22515,Portal WEB do Atualizador Automático - Tela de Clientes limita exibição aos 20 primeiros registros,Closed,Concluído,Paulo A. Lot,2026-07-09T20:31:11.57Z,2026-07-14T14:05:56.353Z,2,Média,Nao,Sim
