Id,Tipo,QtdPeriodosParado,TotalHorasParado,TotalDiasParado,TempoParadoExibicao,ParadoAgora,StatusAtual
230,User Story,1,504.16,21.01,21.01 d,Nao,
263,User Story,1,169.59,7.07,7.07 d,Nao,
280,User Story,1,511.76,21.32,21.32 d,Nao,
292,User Story,1,16180.05,674.17,674.17 d,Sim,Retorno solicitante
300,User Story,1,16179.9,674.16,674.16 d,Sim,Retorno solicitante
1036,User Story,1,715.95,29.83,29.83 d,Nao,
1372,User Story,1,2591.98,108.0,108.00 d,Nao,
1416,User Story,1,260.36,10.85,10.85 d,Nao,
1874,User Story,2,1081.18,45.05,45.05 d,Nao,
1923,User Story,6,6238.79,259.95,259.95 d,Sim,Retorno solicitante
2310,User Story,1,280.38,11.68,11.68 d,Nao,
3666,User Story,1,0.18,0.01,0.18 h,Nao,
3744,User Story,1,1361.66,56.74,56.74 d,Nao,
3770,User Story,1,0.02,0.0,0.02 h,Nao,
4621,User Story,2,299.59,12.48,12.48 d,Nao,
4939,User Story,1,107.23,4.47,4.47 d,Nao,
5421,User Story,1,0.01,0.0,0.01 h,Nao,
6393,User Story,1,971.65,40.49,40.49 d,Nao,
7314,User Story,1,5.55,0.23,5.55 h,Nao,
7504,User Story,1,1.04,0.04,1.04 h,Nao,
7564,User Story,1,0.0,0.0,0.00 h,Nao,
8197,User Story,1,1291.15,53.8,53.80 d,Nao,
13859,User Story,1,1.05,0.04,1.05 h,Nao,
13860,User Story,3,20.07,0.84,20.07 h,Nao,
13925,User Story,2,44.61,1.85,1.85 d,Nao,
14192,User Story,4,6.92,0.29,6.92 h,Nao,
16274,User Story,5,4.64,0.19,4.64 h,Nao,
16961,User Story,1,98.42,4.1,4.10 d,Nao,
17182,User Story,6,127.46,5.32,5.32 d,Nao,
17371,User Story,1,100.26,4.18,4.18 d,Nao,
17387,User Story,1,167.01,6.96,6.96 d,Nao,
17410,User Story,4,85.77,3.58,3.58 d,Nao,
17428,Bug,4,37.92,1.58,1.58 d,Nao,
17429,Bug,1,1.0,0.04,1.00 h,Nao,
17508,User Story,2,44.31,1.84,1.84 d,Nao,
17759,User Story,1,169.08,7.05,7.05 d,Nao,
17768,User Story,3,31.05,1.29,1.29 d,Nao,
17769,User Story,1,0.0,0.0,0.00 h,Nao,
18037,User Story,1,1176.29,49.01,49.01 d,Sim,Retorno solicitante
18246,User Story,1,1.09,0.05,1.09 h,Nao,
18256,User Story,1,2.36,0.1,2.36 h,Nao,
18258,Bug,1,0.87,0.04,0.87 h,Nao,
18260,User Story,1,11.53,0.48,11.53 h,Nao,
18342,Bug,3,118.61,4.94,4.94 d,Nao,
18500,User Story,1,21.63,0.9,21.63 h,Nao,
18642,Bug,3,0.69,0.03,0.69 h,Nao,
18686,User Story,2,20.29,0.84,20.29 h,Nao,
18723,User Story,1,23.77,0.99,23.77 h,Nao,
19209,User Story,1,5.41,0.23,5.41 h,Nao,
19213,User Story,3,122.86,5.11,5.11 d,Nao,
19215,User Story,1,46.87,1.95,1.95 d,Nao,
19233,User Story,1,0.15,0.01,0.15 h,Nao,
19247,User Story,4,78.18,3.25,3.25 d,Nao,
19290,User Story,1,146.99,6.12,6.12 d,Nao,
19354,User Story,1,0.06,0.0,0.06 h,Nao,
19370,User Story,1,2.92,0.12,2.92 h,Nao,
19947,User Story,1,16.22,0.68,16.22 h,Nao,
20483,User Story,3,473.5,19.74,19.74 d,Nao,
20517,User Story,1,192.6,8.03,8.03 d,Nao,
20578,User Story,1,6.93,0.29,6.93 h,Nao,
20611,User Story,1,527.94,22.0,22.00 d,Sim,Aguardando PO
20645,Bug,1,0.7,0.03,0.70 h,Nao,
20848,Bug,1,0.75,0.03,0.75 h,Nao,
21485,User Story,1,2.93,0.12,2.93 h,Nao,
21518,User Story,1,41.28,1.72,1.72 d,Nao,
21851,User Story,1,0.44,0.02,0.44 h,Nao,
13861,User Story,3,3.03,0.13,3.03 h,Nao,
19229,User Story,1,15.31,0.64,15.31 h,Nao,
21132,Bug,1,5.2,0.22,5.20 h,Nao,
21494,Bug,1,3.97,0.17,3.97 h,Nao,
22296,User Story,1,5.08,0.21,5.08 h,Nao,
6504,User Story,1,22.08,0.92,22.08 h,Nao,
13862,User Story,2,28.96,1.21,1.21 d,Nao,
13863,User Story,3,36.24,1.51,1.51 d,Nao,
13864,User Story,2,14.11,0.59,14.11 h,Nao,
18857,User Story,3,188.48,7.86,7.86 d,Nao,
19230,User Story,7,433.84,18.07,18.07 d,Sim,Aguardando Conclusão de outro Card
19234,User Story,6,393.5,16.39,16.39 d,Sim,Parou para fazer outro ticket
19235,User Story,4,23.44,0.98,23.44 h,Nao,
19355,User Story,2,670.72,27.95,27.95 d,Nao,
19758,User Story,1,21.57,0.9,21.57 h,Nao,
19948,User Story,2,6.05,0.25,6.05 h,Nao,
19949,User Story,3,742.16,30.92,30.92 d,Sim,Aguardando Revisão
19950,User Story,1,13.02,0.54,13.02 h,Nao,
20056,User Story,3,733.82,30.58,30.58 d,Sim,Aguardando Conclusão de outro Card
20211,User Story,4,98.23,4.09,4.09 d,Nao,
20756,User Story,3,164.73,6.86,6.86 d,Nao,
20831,User Story,1,0.57,0.02,0.57 h,Nao,
21162,User Story,1,2.93,0.12,2.93 h,Nao,
21305,User Story,3,5.05,0.21,5.05 h,Nao,
21325,User Story,6,293.98,12.25,12.25 d,Sim,Aguardando Revisão
21414,Bug,1,2.17,0.09,2.17 h,Nao,
21850,User Story,1,0.52,0.02,0.52 h,Nao,
21869,Bug,1,23.31,0.97,23.31 h,Nao,
21962,User Story,1,1.14,0.05,1.14 h,Nao,
22055,Bug,1,25.35,1.06,1.06 d,Nao,
22354,User Story,1,18.72,0.78,18.72 h,Nao,
22377,User Story,1,44.14,1.84,1.84 d,Sim,Aguardando Revisão
