Id,Tag
226,DBA
230,Sped
238,Prioridade Rodrigo
255,Estabilidade
259,Estabilidade
263,Prioridade Rodrigo
266,Estabilidade
269,Contingência
270,Estabilidade
271,Usabilidade
272,Estabilidade
273,Auditoria
273,Cacique
280,Cacique
280,Estabilidade
292,Estabilidade
292,Melhoria
300,Cacique - Lista
300,Estabilidade
301,B.I
302,B.I
376,Cacique Lista 2
376,Performance
378,Cacique Lista 2
378,Performance
381,Cacique Lista 2
381,Performance
382,Cacique Lista 2
382,Performance
383,Cacique Lista 2
383,Performance
385,Performance
386,Cacique Lista 2
386,Performance
387,Cacique Lista 2
387,Performance
388,Cacique Lista 2
388,Performance
391,Cacique Lista 2
391,Performance
624,Auditoria
624,Cacique
956,Cacique
956,Carga de Movimentação
961,Tulio
962,Tulio
976,Melhoria
980,Tulio
1035,B.I
1036,B.I
1037,B.I
1038,B.I
1040,B.I
1054,Estabilidade
1054,Usabilidade
1133,Cacique
1133,Estoque
1138,Tulio
1223,Arquitetura
1223,consultoria
1224,Arquitetura
1224,consultoria
1227,Arquitetura
1227,consultoria
1240,Alfa 09.11.2024 R. 03.11.2024
1240,Cacique
1240,Preço
1318,Melhoria
1318,Performance
1325,Cacique
1325,Gerenciamento DFe
1329,Estabilidade
1372,Arquitetura
1372,consultoria
1374,Arquitetura
1374,consultoria
1407,Melhoria
1411,Arquitetura
1411,consultoria
1411,MetaServerGlobal
1416,Comprovante Entrega
1416,FORTES
1416,Prioridade Ricardo
1418,Melhoria
1427,Arquitetura
1427,MetaImportador
1428,Arquitetura
1429,Arquitetura
1438,Arquitetura
1438,consultoria
1671,Contingência
1744,Melhoria
1745,Melhoria
1757,Melhoria
1775,Ipiranga
1775,Melhoria
1775,Usabilidade
1874,!BUG
1893,Tulio
1923,!BUG
1947,B.I
1979,Teste Unitário
2005,Cacique
2005,Preço
2006,B.I
2034,B.I
2040,B.I
2115,Distribuidoras
2115,Ipiranga
2115,Prioridade Ricardo
2134,B.I
2140,QA BUG
2149,B.I
2150,B.I
2189,Arquitetura
2310,!BUG
2313,consultoria
2313,Melhoria
2363,Extra
2363,Prioridade Ricardo
2363,Tulio
2516,Logon
2516,Melhoria
2516,Performance
2518,Logon
2518,Melhoria
2518,Performance
2520,Logon
2520,Melhoria
2520,Performance
2521,Logon
2521,Melhoria
2521,Performance
2530,Api
2530,Melhoria
2530,Performance
2531,Api
2531,Melhoria
2531,Performance
2532,Api
2532,Melhoria
2532,Performance
2533,Api
2533,Melhoria
