Id,BoardColumn,State,TipoFluxo,TempoTotalHoras,TempoTotalDias,UltimaEntrada,UltimaSaida,ColunaAtual,TempoAtualHoras
206,Idéias,New,fila,4399.77,183.32,2024-11-19T18:01:23.013Z,2025-05-21T23:47:50.007Z,Nao,
206,Disponível para Dev,New,aguardando,1829.63,76.23,2024-09-04T15:14:51.840Z,2024-11-19T18:01:23.013Z,Nao,
206,Backlog,New,fila,46.2,1.92,2024-09-02T17:03:19.500Z,2024-09-04T15:14:51.840Z,Nao,
206,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
206,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
226,Idéias,New,fila,1131.69,47.15,2025-04-04T20:06:27.210Z,2025-05-21T23:47:50.007Z,Nao,
226,Backlog,New,fila,5141.71,214.24,2024-09-02T14:24:08.350Z,2025-04-04T20:06:27.210Z,Nao,
226,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
226,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
227,Idéias,New,fila,5545.61,231.07,2024-10-16T14:44:36.873Z,2025-05-21T23:47:50.007Z,Nao,
227,Backlog,New,fila,727.77,30.32,2024-10-08T10:48:38.637Z,2024-10-16T14:44:36.873Z,Nao,
227,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
227,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
228,Idéias,New,fila,6273.37,261.39,2024-09-02T14:25:21.987Z,2025-05-21T23:47:50.007Z,Nao,
228,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
228,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
230,Idéias,New,fila,1131.96,47.16,2025-04-04T19:51:05.267Z,2025-05-21T23:47:50.007Z,Nao,
230,Fazendo Análise,New,trabalho,504.16,21.01,2024-09-02T14:28:29.957Z,2024-09-23T14:37:49.063Z,Nao,
230,Disponível para Dev,New,aguardando,3742.2,155.93,2024-09-23T14:37:49.063Z,2025-02-26T12:50:01.800Z,Nao,
230,Backlog,New,fila,895.02,37.29,2025-02-26T12:50:01.800Z,2025-04-04T19:51:05.267Z,Nao,
230,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
230,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
236,Idéias,New,fila,6273.07,261.38,2024-09-02T14:43:51.330Z,2025-05-21T23:47:50.007Z,Nao,
236,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
236,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
238,Idéias,New,fila,6273.05,261.38,2024-09-02T14:44:54.310Z,2025-05-21T23:47:50.007Z,Nao,
238,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
238,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
240,Idéias,New,fila,1131.9,47.16,2025-04-04T19:53:52.580Z,2025-05-21T23:47:50.007Z,Nao,
240,Backlog,New,fila,5141.11,214.21,2024-09-02T14:47:29.173Z,2025-04-04T19:53:52.580Z,Nao,
240,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
240,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
241,Idéias,New,fila,6273.0,261.37,2024-09-02T14:48:04.460Z,2025-05-21T23:47:50.007Z,Nao,
241,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
241,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
246,Idéias,New,fila,6272.92,261.37,2024-09-02T14:52:41.197Z,2025-05-21T23:47:50.007Z,Nao,
246,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
246,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
253,Idéias,New,fila,6269.26,261.22,2024-09-02T18:32:27.127Z,2025-05-21T23:47:50.007Z,Nao,
253,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
253,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
254,Idéias,New,fila,6269.22,261.22,2024-09-02T18:34:36.763Z,2025-05-21T23:47:50.007Z,Nao,
254,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
254,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
255,Idéias,New,fila,5579.99,232.5,2024-10-01T11:57:36.393Z,2025-05-21T23:47:50.007Z,Nao,
255,Disponível para Dev,New,aguardando,0.05,0.0,2024-09-02T18:44:31.750Z,2024-09-02T18:47:16.890Z,Nao,
255,Backlog,New,fila,689.17,28.72,2024-09-02T18:47:16.890Z,2024-10-01T11:57:36.393Z,Nao,
255,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
255,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
259,Idéias,New,fila,1132.53,47.19,2025-04-04T20:12:05.150Z,2025-05-21T23:47:50.007Z,Nao,
259,Backlog,New,fila,5120.07,213.34,2024-09-03T12:07:51.090Z,2025-04-04T20:12:05.150Z,Nao,
259,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
259,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
261,Idéias,New,fila,1460.83,60.87,2025-04-04T20:24:49.580Z,2025-05-21T23:47:50.007Z,Nao,
261,Backlog,New,fila,4791.75,199.66,2024-10-08T10:48:25.233Z,2025-04-04T20:24:49.580Z,Nao,
261,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
261,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
263,Idéias,New,fila,0.88,0.04,2024-09-03T11:15:48.893Z,2024-09-03T12:08:25.040Z,Nao,
263,Backlog,New,fila,5218.38,217.43,2025-07-08T20:13:35.757Z,2025-08-04T17:05:49.733Z,Nao,
263,Fazendo Análise,New,trabalho,187.48,7.81,2025-07-08T20:06:01.560Z,2025-07-08T20:06:21.390Z,Nao,
263,Disponível para Dev,New,aguardando,2638.98,109.96,2024-11-01T13:05:16.640Z,2025-02-19T12:03:51.853Z,Nao,
263,Ideias,New,,8257.22,344.05,2025-08-04T17:05:49.733Z,,Sim,8257.1
266,Idéias,New,fila,1132.33,47.18,2025-04-04T20:12:22.013Z,2025-05-21T23:47:50.007Z,Nao,
266,Backlog,New,fila,5120.06,213.34,2024-09-03T12:08:35.033Z,2025-04-04T20:12:22.013Z,Nao,
266,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
266,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
267,Idéias,New,fila,1132.33,47.18,2025-04-04T20:09:26.930Z,2025-05-21T23:47:50.007Z,Nao,
267,Disponível para Dev,New,aguardando,4054.27,168.93,2024-09-03T12:07:08.710Z,2025-02-19T10:23:27.103Z,Nao,
267,Backlog,New,fila,1065.77,44.41,2025-02-19T10:23:27.103Z,2025-04-04T20:09:26.930Z,Nao,
267,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
267,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
269,Idéias,New,fila,1131.95,47.16,2025-04-04T20:12:40.127Z,2025-05-21T23:47:50.007Z,Nao,
269,Backlog,New,fila,5120.07,213.34,2024-09-03T12:08:39.960Z,2025-04-04T20:12:40.127Z,Nao,
269,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
269,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
270,Idéias,New,fila,1131.87,47.16,2025-04-04T20:16:16.883Z,2025-05-21T23:47:50.007Z,Nao,
270,Backlog,New,fila,5120.13,213.34,2024-09-03T12:08:44.493Z,2025-04-04T20:16:16.883Z,Nao,
270,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
270,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
271,Idéias,New,fila,1131.83,47.16,2025-04-04T20:16:40.513Z,2025-05-21T23:47:50.007Z,Nao,
271,Backlog,New,fila,5120.13,213.34,2024-09-03T12:08:49.010Z,2025-04-04T20:16:40.513Z,Nao,
271,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
271,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
272,Idéias,New,fila,5580.13,232.51,2024-10-01T11:58:12.910Z,2025-05-21T23:47:50.007Z,Nao,
272,Backlog,New,fila,671.82,27.99,2024-09-03T12:08:53.753Z,2024-10-01T11:58:12.910Z,Nao,
272,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
272,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
273,Idéias,New,fila,1138.39,47.43,2025-04-04T13:40:38.920Z,2025-05-21T23:47:50.007Z,Nao,
273,Backlog,New,fila,5113.53,213.06,2024-09-03T12:08:58.820Z,2025-04-04T13:40:38.920Z,Nao,
273,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
273,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
275,Idéias,New,fila,1131.97,47.17,2025-04-04T19:53:26.340Z,2025-05-21T23:47:50.007Z,Nao,
275,Disponível para Dev,New,aguardando,4054.27,168.93,2024-09-03T12:07:38.587Z,2025-02-19T10:23:54.040Z,Nao,
275,Backlog,New,fila,1065.49,44.4,2025-02-19T10:23:54.040Z,2025-04-04T19:53:26.340Z,Nao,
275,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
275,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
280,Idéias,New,fila,890.71,37.11,2025-04-14T21:06:21.867Z,2025-05-21T23:47:50.007Z,Nao,
280,Backlog,New,fila,821.79,34.24,2025-04-04T19:08:28.750Z,2025-04-14T21:06:21.867Z,Nao,
280,Disponível para Dev,New,aguardando,4007.64,166.99,2024-09-05T10:45:46.380Z,2025-02-19T10:24:25.313Z,Nao,
280,Fazendo Análise,New,trabalho,524.76,21.86,2025-03-13T16:54:03.053Z,2025-04-04T13:39:34.390Z,Nao,
280,Concluído,New,done,5.48,0.23,2025-04-04T13:39:34.390Z,2025-04-04T19:08:28.750Z,Nao,
280,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
280,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
282,Idéias,New,fila,6205.03,258.54,2024-09-05T10:46:18.403Z,2025-05-21T23:47:50.007Z,Nao,
282,Backlog,New,fila,45.32,1.89,2024-09-03T13:26:50.670Z,2024-09-05T10:46:18.403Z,Nao,
282,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
282,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
284,Idéias,New,fila,1131.67,47.15,2025-04-04T20:08:41.373Z,2025-05-21T23:47:50.007Z,Nao,
284,Backlog,New,fila,1110.91,46.29,2025-02-19T10:25:03.577Z,2025-04-04T20:08:41.373Z,Nao,
284,Disponível para Dev,New,aguardando,4007.65,166.99,2024-09-05T10:46:11.213Z,2025-02-19T10:25:03.577Z,Nao,
284,Ideia,New,,659.89,27.5,2025-05-21T23:47:50.007Z,2025-06-18T11:40:59.330Z,Nao,
284,Ideias,New,,9390.51,391.27,2025-06-18T11:40:59.330Z,,Sim,9390.51
288,Idéias,New,fila,1131.85,47.16,2025-04-04T19:57:12.230Z,2025-05-21T23:47:50.007Z,Nao,
