Id,Responsavel,Descricao,Numero,CompletedWork,ClosedDate
4290,Paulo A. Lot,"Contexto Foi identificado que o sistema está permitindo a geração de NF-e de finalidade 929 a partir de NFC-es sem cliente vinculado, ocasionando rejeições no processo de emissão fiscal.  Além disso, após a geração da NF-e nestes cenários, o sistema não permite realizar o aborto da nota através da interface do PDV/sistema, sendo necessário acionar o suporte para execução de procedimentos diretamente em banco de dados, demandando tempo adicional de análise e correção.  Solicitação Implementar validações e tratamentos para impedir a geração indevida de NF-e 929 sem cliente vinculado e permitir que documentos gerados em situações inconsistentes possam ser abortados diretamente pela funcionalidade padrão do sistema.  Requisitos 1. Validação para geração de NF-e 929 O sistema deverá validar, no momento da geração da NF-e de finalidade 929, se existe cliente devidamente vinculado à NFC-e de origem.  Regras: 1.1) Caso a NFC-e não possua cliente vinculado, o sistema não deverá permitir a geração da NF-e 929.  1.2) O sistema deverá apresentar mensagem informativa ao usuário indicando que a operação não poderá ser realizada devido à ausência de cliente vinculado ao documento fiscal.  1.3) A validação deverá ocorrer antes do início do processo de transmissão/autorização da NF-e.  1.4) O sistema não deverá gerar registros parciais ou documentos pendentes quando a validação bloquear o processo.    Mensagem: &quot; Não é possível gerar NF-e 929 sem cliente vinculado à NFC-e. &quot;",584000,,2026-05-25T10:19:58.263Z
5824,,,589171,,2026-05-11T13:19:59.030Z
12618,Paulo A. Lot,"1. Domain Events removidos -------------------------- *   Agent: removidos _domainEvents, AddDomainEvent, ClearDomainEvents, DomainEvents e as chamadas em Register e RecordHeartbeat. *   UnitOfWork: removidos IDomainEventDispatcher e o fluxo de coleta/despacho de eventos; SaveChangesAsync só chama o contexto. *   AgentHeartbeatService: adicionado log direto após o heartbeat (LogDebug(&quot;Heartbeat registrado. AgentId=...&quot;)). *   AgentConfiguration: removido Ignore(a => a.DomainEvents). *   Program.cs: removidos os registros de IDomainEventDispatcher e IDomainEventHandler. *   Arquivos removidos: AgentRegisteredDomainEvent.cs, AgentHeartbeatRecordedDomainEvent.cs, IDomainEvent.cs, IDomainEventDispatcher.cs, IDomainEventHandler.cs, DomainEventDispatcher.cs, AgentRegisteredDomainEventHandler.cs. * * * 2. Value Objects simplificados ------------------------------ *   Agent: validação de hostname e IP feita inline em Register e UpdateConnectionInfo (tamanho, IPAddress.TryParse), sem usar VOs. *   Arquivos removidos: Domain/ValueObjects/Hostname.cs, Domain/ValueObjects/IpAddress.cs. * * * 3. Camada Application eliminada (Controller → Service) ------------------------------------------------------ *   AgentsController passa a usar: *   IAgentRegistrationService para registro. *   IAgentQueryService para listagem de status e overview. *   IValidator<AgentRegistrationRequest> para validação do registro. *   AgentQueryService criado em Services/Agents/ com: *   GetOverviewAsync() (delega para AgentOverviewDapperQuery). *   GetStatusListAsync() (lógica que estava em GetAgentStatusListQueryHandler). *   Validators/AgentRegistrationRequestValidator.cs criado com as mesmas regras do antigo RegisterAgentCommandValidator. *   ApplicationDI: removidos os registros dos 3 handlers; adicionados IAgentQueryService e AgentQueryService; mantidos AddValidatorsFromAssembly e os demais serviços. *   Arquivos removidos: RegisterAgentCommand.cs, RegisterAgentCommandHandler.cs, RegisterAgentCommandValidator.cs, GetAgentOverviewQuery.cs, GetAgentOverviewQueryHandler.cs, GetAgentStatusListQuery.cs, GetAgentStatusListQueryHandler.cs, ICommandHandler.cs, IQueryHandler.cs.",,,2026-05-07T10:42:28.590Z
12834,,"Copied from Repro Steps when changed from Bug to Atendimento CNPJ: 38931192000122    NOME FANTASIA:  AUTO POSTO MATRIZ II DE SALTO GRANDE LTDA    RELEASE:       Acesso: Global/PDV/METAPOSTO: 1777990461    Menu do sistema:        Detalhamento:   Emissão pelo Global  NFes de numero 6082 e 6083 pendentes com rejeição 701 Motivo Rejeição: Não informado Nota Fiscal referenciada (Lançamento relativo a Cupom Fiscal). Ao tentar abortar os documentos, é retornado a seguinte validação: &quot;Nota fiscal Eletrônica já foi cancelada.   Em DocumentoFiscal consta como &quot;cancelado = 0&quot;, e em NotaFiscalEletronica &quot;Status = 4&quot;  Na Sefaz o documento consta como &quot;Inutilizado&quot;.   Nas tabelas de Log é retornado as tentativas de inutilização  E na Tabela DocumentoXMLGenérico é retornada a inutilização homolgada com sucesso       Evidências:                    RETORNO DO N3:     Encaminhando para Celula Fiscal para validação para análise/conclusão;  Segue em anexo backup da base do cliente e base de testes em Homologação.  https://mega.nz/folder/27pAGabR#y2b4c6oNH0Ulzt_6e98NEg    Como não consegui reproduzir situação em Homologação na master, estou alterando categoria de Incidente para Problema.    Fato:[642925] - PDV > NFe emissão Normal em SP - Pendente no PDV com rejeição 701 e inutilizada na sefaz - Ao abortar emissão retorna &quot;Nota Fiscal Eletronica ja foi cancelada&quot;    Causa:Não identificado.  Situação da Reição 701 foi resolvida no ticket interno 640267 - Card 11871.  Referente a mensagem de validação &quot;Nota Fiscal Eletronica ja foi cancelada&quot;, houve uma tratativa recente em release via ticket 629137 - Card 9492 referente a mesma mensagem, mas para outro fluxo. Porém, o cliente está com release com data superior à correção.  Na base do cliente no link consta no PDV as notas de Id 1090909, 1090912 inutilizadas na sefaz, e pendentes no sistema, mas com dados de xml com tentativa e sucesso na inutilização.  Na base de testes no link, realizei vários testes de emissão de NFe de Cupom(NFCe) simulando falha para transmitir, e inutilizar a NFe via arquivos simulaerroconexaointernet.nfe , simulafalhaapostransmissao.nfe e simulafalhadepoisinutilizar.nfe, mas não consegui reproduzir a mesma situação.  Cenário que considerei foi o mesmo do cliente: Never Stop habilitado, emissão de NFCe via PDV e NFe via Global.    Ação:  Foi aplicado solução pontual da interação n°2 deste ticket.",642925,,2026-04-28T13:59:15.640Z
12993,,"Copied from Repro Steps when changed from Bug to Atendimento Conforme fluxo apresentado no vídeo em anexo, podemos verificar o seguinte problema:  Ao carregar a nota de entrada e já ir no menu F11 e Devolver Mercadorias ao Fornecedor, ao transitar para a tela de Nota Fiscal Eletrônica, o sistema não está levando a armazenagem dos itens junto com ela, gerando assim problemas futuros de validação. Porém se ao carregar formos nos itens através da lupa, só o fato de termos entrado na tela, e certificarmos que a armazenagem está lá, a mesma já é enviada corretamente para a tela de Nota Fiscal.   No vídeo eu exemplifiquei uma nota com 4 itens, sendo que na segunda vez, na entrada de nota eu entrei nos dois primeiros itens, e logo, esses foram os itens que constaram armazenagem na Nota Fiscal de Devolução de Compra.   Tudo evidenciado em vídeo.",,,2026-05-04T14:32:55.013Z
13309,Ivan Pionelli Junior,"Copied from Repro Steps when changed from Bug to Atendimento CNPJ: 08865824000136    NOME FANTASIA: Posto Nacional    RELEASE:         Menu do sistema: Fiscal > Serviços NF-e > Gerenciar documentos    Problema: NFC-e com XML não confirmado no metaposto  Detalhamento:   Cliente possui as seguintes NFC-e ( 774921,774925,774926,774934,774936,774937,774884,774917,774768,774771,774779,774780,774792,774793 Série 1) que ao exportar os XML no sistema, o sistema alerta para que elas não possuem XML confirmado pela sefaz. ( Conforme evidencia ), algumas delas ao serem consultadas na sefaz, retorna que o documento não existe.    Em teste no metaposto, foi possível inutilizar uma das que não constam na sefaz, porém o registro ficou duplicado no metaposto    Suspeita de terem importado o xml pelo meta importador.     41260108865824000136650010007749371575941023 - 774937 - não consta na sefaz  41260108865824000136650010007749361182268563 - 774936 - Consta na sefaz  41260108865824000136650010007749341661910406 - 774934 - Não consta na sefaz  41260108865824000136650010007749261872028310 - 774926 - não consta na sefaz  41260108865824000136650010007749251687361044 - 774925 - não consta na sefaz  41260108865824000136650010007749211641072253 - 774921 - não consta na sefaz    41260108865824000136650010007749171027197504 - 774917 - não consta na sefaz  41260108865824000136650010007747931985080115 - 774793 - não consta na sefaz  41260108865824000136650010007747921786010942 - 774792 - não consta na sefaz  41260108865824000136650010007748841774936784 - 774884 - Consta na sefaz  41260108865824000136650010007747801710200960 - 774780 - não consta na sefaz  41260108865824000136650010007747791411031988 - 774779 - não consta na sefaz   41260108865824000136650010007747711912108519 - 774771 - não consta na sefaz  41260108865824000136650010007747681957900798 - 774768 - Consta na sefaz  Acesso Global Anydesk:1793002228Acesso PDV/GERENC  Anydesk:1205982523  Evidências:               retorno do n3:     Henrique Freitas - Suporte N323/02/2026 18:11Ação interna   7 Boa tarde!    Encaminhado ticket para Celula Fiscal para validação.  Considerando base de testes, montei o ambiente em branch: master, validei a emissão de NFCe modo normal, com arquivos simulaerroconexaointernet.nfe , simulaerronaocatalogado.nfe e também fechando GerenciadorPDV para emissão, e depois alterando os documentos para modo emissão contingência, mas em todos os cenários, o sistema não envia &quot;documento de emissão normal&quot; na carga para Global.          solução pontual:   Atualização do Fato, Causa e Ação.    Backup da base no Mega da Imex:  https://mega.nz/folder/KiBWCLrD#IXHhWB91LZM1RCYvAhxlKQ    Fato:  PDV: NFCe (Módulo emissor GerenciadorPDV) - 14  NFCe emissão normal consta com Xml Incompleto e consta 14 NFCe em contingência com mesma ChaveEmissao    Causa:  Analisando situação, identifiquei o seguinte.    1) Existem 14  NFCe emissão normal com XML incompleto no banco do Global(MongoDB), que não existe registro na tabela DocumentoFiscal e NotaFiscalEletronica no GerenciadorPDV/PDV,e destas 3 existem na Sefaz e 11 não existem.  2) Existem 14  NFCe em contingência com os mesmos itens, total e destinatário que as 14 NFCe emissão normal, constando no PDV/GerenciadorPDV/Global. (Duplicidade de documento)    Emissão Normal  41260108865824000136650010007749361182268563 - Consta na Sefaz PR  41260108865824000136650010007748841774936784 - Consta na Sefaz PR  41260108865824000136650010007747681957900798 - Consta na Sefaz PR  41260108865824000136650010007749371575941023 - Não consta na Sefaz  41260108865824000136650010007749341661910406 - Não consta na Sefaz  41260108865824000136650010007749261872028310 - Não consta na Sefaz  41260108865824000136650010007749251687361044 - Não consta na Sefaz  41260108865824000136650010007749211641072253 - Não consta na Sefaz   41260108865824000136650010007749171027197504 - Não consta na Sefaz  41260108865824000136650010007747931985080115 - Não consta na Sefaz  41260108865824000136650010007747921786010942 - Não consta na Sefaz  41260108865824000136650010007747801710200960 - Não consta na Sefaz  41260108865824000136650010007747791411031988 - Não consta na Sefaz  41260108865824000136650010007747711912108519 - Não consta na Sefaz    Emissão Contingência:  41260108865824000136651020000054729646332103  41260108865824000136651020000054979331036230  41260108865824000136651020000055819463361001  41260108865824000136651020000055009857542112  41260108865824000136651050000027929943567207  41260108865824000136651020000055919710147112  41260108865824000136651020000056069179933706  41260108865824000136651020000056149710810101  41260108865824000136651020000056019209524047  41260108865824000136651020000054619521192914  41260108865824000136651050000028189153437997  41260108865824000136651020000054639971756368  41260108865824000136651020000056139211214956  41260108865824000136651050000028179108315511    3) A existência destas notas em contingência se deve ao fato de o cliente ter alterado de &quot;emissão de normal&quot; para &quot;emissão contingência&quot;, durante oscilação do serviço da Sefaz PR entre os dia 05 e 07/01/2026, conforme podemos observar na tabela [Fiscal.DOCe].LogConsumoWS  no banco do GerenciadorPDV e pelos documentos constarem com ChaveEmissao + &quot;-da&quot;, e motivocontingencia = &quot;INSTABILIDADE DA SEFAZ - Alterado modo de emissão&quot;. No momento em que o cliente acessa Docs-e > Status Documento, acessa o botão &quot;...&quot; e clica para emitir em contingência, o sistema apresenta mensagem de validação &quot;Sefaz apresentando instabilidade! Deseja realizar a emissão do documento em contingência?&quot; (Sim/Não).            Todavia, não consegui identificar por que o sistema enviou carga das notas em emissão normal para Global, se as notas não estavam processadas. (gerando duplicidade de documentos)    Ação:  Pontual:  1) Conferi o turno referente documentos emissão normal, e o turno não foi cadastrado, então acredito que não há necessidade de estorno de movimentação financeira/contábil. Se houver, favor acionar suporte-n3-financeiro (print abaixo)        2) Por favor, execute SQL realizando exclusão lógica destas 14 NFCe emitidas em modo normal; (SQL já passado antes para Doralice e Vinicius[Setor C])  3) Realizar importação de Xml via MetaImportador das 3 NFCe em anexo; (Como nos Xml consta apenas Produto, favor marcar opção para atualizar estoque)  4) Orientar a emissão de 1 NFe de Devolução para cada NFCe importada, para ajustar a movimentação fiscal que ficou em duplicidade na Sefaz, pois existe 1 NFCe normal e 1 NFCe contingência referente à mesma venda;   5) Inutilizar numeração de todas as NFCe emissão normal que não constam na Sefaz PR;",644559,,2026-05-11T19:41:23.390Z
13788,Luiz Fernando Rodrigues Pereira,Copied from Repro Steps when changed from Bug to Atendimento Lucas Marquini - Suporte N306/03/2026 11:04Ação interna   1 Módulo: Metaposto - Transporte - Emissão Cte Aquaviário  Release: Alfa  Branch: releases/Alfa_03_03_2026  Banco: https://mega.nz/folder/Xz4hCQBJ#aqY5X0fvhvcfSdd0M2PMVA    Fluxo:  1º -Emissão Cte aquaviário > botão new > Ao clicar menu F11 > dispara exceção em anexo    Descrição:  Metaposto / Emissão CTE Aquaviário > Btn New >  Menu F11 - Ao clicar no menu F11 dispara exceção,646715,,2026-05-14T11:43:05.863Z
14432,Paulo A. Lot,"Copied from Repro Steps when changed from Bug to User Story SITUAÇÃO CONTORNADA, E SEM FLUXO DE OCORRÊNCIA.    Boa tarde!  Release do cliente: Oficial R03-02  Release do teste: -  Link base dados Pdv + ger: https://mega.nz/folder/TmJGUJTK#3Ds-5cGnJjHlSNaLUkv2Sw  Menu Sistema: Pdv/Nfce    Fato: Nfce em contingencia gerada pelo never Stop pendente envio no Pdv,  via logConsumo vimos que o retorno é de 'REJ 558-   Data de entrada em contingencia posterior a data de recebimento' e não consta o documento na Sefaz.  Isso ocorreu pois no momento da entrada em contingencia, a maquina devia estar com fuso horário incorreto, com isso  o fuso de -05:00(data contingencia)  fica posterior ao fuso -03:00(data recebimento) ocasionando a REJ 558  - Refazendo o xml via Pdv não surtiu efeito  - Testamos com config emissão com data retroativa marcada e desmarcada    Causa: -    Ação:  Identificamos que a nfce em contingencia n° 935 série 101 substituiu a nfce em modo normal de n° 144983 ´serie 1, que consta como cancelada na Sefaz  e no meta possui registros na tabela neverstoppendente com xml de cancelamento.  Estamos enviando ao dev Fiscal para verificar porque no momento de refazer o xml, o sistema não refez a data/hora e fuso para emissão do documento.    Evidencias:  Consultas utilizadas em anexo;",648057,,2026-05-11T19:34:18.740Z
15754,Luiz Fernando Rodrigues Pereira,"Copied from Repro Steps when changed from Bug to Atendimento Bom dia!   Release do cliente: Alfa R27-03  Menu Sistema: MetaserverGlobal  Acesso Global: Caso necessário pode entrar em contato com o solicitante Wiliam.    Fato: Encerramento inesperado do globalCausa: -    Ação:  Conforme solicitado foi questionado alguns pontos e na interação 4 foi retornado pelo analista do GC.  Segue as considerações:  - Quando começou a ocorrer a situação?  A situação relatada iniciou após a atualização da versão do sistema Meta.    - Foi depois de alguma atualização do meta?  Sim, antes da atualização esse problema não ocorria.    - Foi depois de alguma troca de infraestrutura?  Não houve troca de infraestrutura.     - Teve alguma atualização do Windows que possa ter impactado?  Não percebido atualizações que poderiam impactar    - Dump da aplicação no momento do crash (o Vinnie pode auxiliar a gerar o arquivo)  Não tem como gerar, pois o Global não trava, ele fecha, quando realizamos o acesso ele já está fechado.    Log do global não gravou nenhuma informação e identificado que a última ocorrência aconteceu dia 10/04/26:    Evidências:",650534,,2026-05-13T13:04:42.803Z
15971,Ivan Pionelli Junior,"Copied from Repro Steps when changed from Bug to User Story Módulo: PDV   Menu: Emissão de NFCe e NFe em contingência  Release: Alfa  Branch: releases/Alfa_13_04_2026  Banco:  https://mega.nz/folder/Wvo31Czb#0aXO62tuRFZNWvXUU0sTOQ    Fluxo:  1. Restaurar base de dados do Global, GerenciadorPDV, MetaPista e PDV, logar na empresa de Id 1 - EMPRESA NFCE;  2. Acessar Utilitários > Configurações --> PDV > NFCe, habilitar contingência automática, com tempo de reenvio de 10 min;  3. Acessar Utilitários > Configurações --> PDV > NFe, habilitar contingência automática, com tempo de reenvio de 10 min;  4. Aguardar a carga das configurações chegar até o PDV, desabilitar a placa de rede do computador, emitir umas 10 NFCe e 10 NFe, habilitar a placa de rede novamente.  5. Acessar no PDV menu: Docs-e > Status Documentos, e aguardar 10 min, o sistema irá confirmar todas as notas emitidas em contingência;  6. Emitir 1 NFCe e conferir se o PDV irá alterar o modo para emissão normal.  6. Emitir 1 NFe e conferir se o PDV irá alterar o modo para emissão normal.    Descrição da situação:  Ao configurar contingência automática para NFe e NFCe, após retorno de internet estável e servidor da Sefaz operando, ao emitir nova nota, o sistema não altera o modo de emissão de contingência para normal.    Obs.:1. O sistema realiza confirmação das notas emitidas em contingência com sucesso;  2. Sistema só altera modo de emissão do PDV para normal ao consultar o status.",653235,,2026-04-28T13:44:00.460Z
