Id,Titulo,State,BoardColumn,Responsavel,DataCriacao,DataFechamento,Prioridade,Severidade,Aberto,FechadoNoPeriodo
13070,Falha na consulta rápida da base do Compliance Fiscal,Closed,Concluído,Julio Andreata,2026-02-18T13:56:57.63Z,2026-05-14T18:34:38.68Z,2,Baixa,Nao,Sim
13282,Consulta rápida de dados - Consulta SQL dispara exceção apenas no ambiente web,Closed,Concluído,maykon.elias,2026-02-23T19:16:36.66Z,2026-05-05T10:47:43.943Z,2,Baixa,Nao,Sim
13789,[Testes release Alfa 03/03/2026] - Metaposto/Mdfe - Após cria uma cópia de um MDFE e tentar salvar ou salvar/processar dispara exceção,Closed,Concluído,Fabio Nobre,2026-03-06T21:22:46.393Z,2026-05-21T14:41:08.783Z,2,Baixa,Nao,Sim
14367,"Falha na emissão de NF-e de venda futura com tipo de preço ""ultimo custo""",Closed,Concluído,Rodolfo Caceraghi dos Santos,2026-03-19T20:56:55.86Z,2026-04-28T11:37:54.62Z,2,Baixa,Nao,Sim
14846,NF-e de devolução - Não houve estorno de estoque do insumo (produto composto),Closed,Concluído,Luiz Fernando Rodrigues Pereira,2026-03-30T22:32:28.61Z,2026-04-22T17:53:47.053Z,2,Baixa,Nao,Sim
14847,Ao salvar e processar NF-e de Transferência de saldo credor de ICMS o valor é zerado,Closed,Concluído,Rodolfo Caceraghi dos Santos,2026-03-30T22:36:10.09Z,2026-04-22T17:54:32.25Z,2,Baixa,Nao,Sim
15206,Quebra de Sequencia de NF-e - Modulo emissor PDV,Closed,Concluído,Paulo A. Lot,2026-04-06T13:19:22.123Z,2026-05-05T10:46:26.653Z,2,Baixa,Nao,Sim
15215,"Exceção procedure CargaMovimentacao.PC_AdaptarSalvarCupomFiscalEletronico - ""Análise XML: linha 1, caractere 3574, caractere xml ilegal""",Closed,Concluído,Julio Andreata,2026-04-06T13:43:47.363Z,2026-04-22T17:54:52.783Z,2,Baixa,Nao,Sim
15221,Bloqueio ao cadastrar CPF/CNPJ já existente mesmo com permissão habilitada,Closed,Concluído,Leandro Andrade,2026-04-06T17:40:43.633Z,2026-04-22T17:54:43.397Z,2,Baixa,Nao,Sim
15251,Inventário - ERRO AO editar INVENTÁRIO - CONVERSÃO DE DBNULL PARA DATETIME,Closed,Concluído,Fabio Nobre,2026-04-06T19:57:02.927Z,2026-04-22T17:53:56.793Z,2,Baixa,Nao,Sim
15252,Notas de cupom geradas pelo faturamento automático estão permanecendo em memória,Closed,Concluído,Ivan Pionelli Junior,2026-04-06T19:59:06.18Z,2026-04-22T17:54:05.427Z,2,Baixa,Nao,Sim
